Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2023-11-21,Pull Up,Back,64.0,kgs,8,,,
2023-11-21,Pull Up,Back,64.0,kgs,6,,,
2023-11-21,Pull Up,Back,64.0,kgs,6,,,
2023-11-21,Seated Cable Row,Back,52.0,kgs,10,,,
2023-11-21,Seated Cable Row,Back,52.0,kgs,10,,,
2023-11-21,Seated Cable Row,Back,52.0,kgs,10,,,
2023-11-21,Rear Delt Machine Fly,Shoulders,52.0,kgs,8,,,
2023-11-21,Rear Delt Machine Fly,Shoulders,45.0,kgs,8,,,
2023-11-21,Rear Delt Machine Fly,Shoulders,45.0,kgs,8,,,
2023-11-21,Barbell Shrug,Back,40.0,kgs,10,,,
2023-11-21,Barbell Shrug,Back,40.0,kgs,10,,,
2023-11-21,Barbell Shrug,Back,40.0,kgs,10,,,
2023-11-21,Chin Up,Back,45.0,kgs,10,,,
2023-11-21,Chin Up,Back,45.0,kgs,8,,,
2023-11-21,Chin Up,Back,45.0,kgs,8,,,
2023-11-21,EZ-Bar Curl,Biceps,20.0,kgs,10,,,
2023-11-21,EZ-Bar Curl,Biceps,20.0,kgs,10,,,
2023-11-21,EZ-Bar Curl,Biceps,20.0,kgs,10,,,
2023-11-21,Dumbbell Hammer Curl,Biceps,12.0,kgs,8,,,
2023-11-21,Dumbbell Hammer Curl,Biceps,12.0,kgs,8,,,
2023-11-21,Dumbbell Hammer Curl,Biceps,12.0,kgs,8,,,
2023-11-22,Decline Barbell Bench Press,Chest,40.0,kgs,10,,,
2023-11-22,Decline Barbell Bench Press,Chest,40.0,kgs,10,,,
2023-11-22,Decline Barbell Bench Press,Chest,40.0,kgs,10,,,
2023-11-22,Incline Barbell Bench Press,Chest,30.0,kgs,7,,,
2023-11-22,Incline Barbell Bench Press,Chest,30.0,kgs,7,,,
2023-11-22,Incline Barbell Bench Press,Chest,30.0,kgs,7,,,
2023-11-22,Push Press,Shoulders,27.0,kgs,6,,,
